"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.228958368E-3,-5.093907166E-1,5.774990845E-1,9.494605865E0
4.908404150E-2,-8.385562134E-1,9.178912354E-1,1.058194473E1
9.939704160E-2,-4.260140991E-1,7.418572998E-1,9.627679138E0
1.497100417E-1,-7.252418518E-1,1.235081635E0,9.934990082E0
2.000230416E-1,-1.082249451E-1,7.309300232E-1,9.900112610E0
2.503360417E-1,-3.254232788E-1,9.970765686E-1,9.933343506E0
3.006500416E-1,-2.603086853E-1,1.044228516E0,9.441915436E0
3.509630417E-1,-2.353106689E-1,7.529342651E-1,9.709708557E0
4.012760415E-1,-4.423301697E-1,9.222322083E-1,9.902507629E0
4.515890416E-1,-2.646496582E-1,1.012644196E0,9.795031128E0
5.019020417E-1,-3.138972473E-1,8.836125183E-1,9.958640900E0
5.522150416E-1,-3.523672485E-1,1.068328400E0,9.725126495E0
6.025290417E-1,-3.058140564E-1,7.550299072E-1,9.823022919E0
6.528420416E-1,-8.083190918E-2,9.882449341E-1,9.748927002E0
7.031549583E-1,-2.365081787E-1,8.126600647E-1,1.006716522E1
7.534679582E-1,-2.285746765E-1,8.539741516E-1,1.036130356E1
8.037809583E-1,-3.683839417E-1,1.177152100E0,9.701475677E0
8.540939584E-1,-1.249900818E-1,1.005309448E0,9.646539917E0
9.044079583E-1,-4.834945679E-2,9.442364502E-1,9.927056580E0
9.547209584E-1,9.624984741E-2,6.382727051E-1,1.000654129E1
1.005033958E0,-9.041198730E-2,6.948550415E-1,9.748927002E0
1.055346958E0,-8.532257080E-2,7.670050049E-1,9.442364502E0
1.105659958E0,-9.939331055E-2,5.953120422E-1,1.001582199E1
1.155972958E0,-3.966751099E-2,6.722520447E-1,9.968969421E0
1.206285958E0,-1.689985657E-1,7.274871826E-1,9.972112885E0
1.256599958E0,4.790039062E-3,4.972659302E-1,9.889634399E0
1.306912958E0,-2.112107849E-1,6.264472961E-1,9.812095642E0
1.357225958E0,1.357676697E-1,3.930825806E-1,9.929152222E0
1.407538958E0,-4.939727783E-2,5.001100159E-1,9.839039612E0
1.457851958E0,-1.422042847E-2,7.949967957E-1,1.033226395E1
1.508164958E0,1.992356873E-1,7.711962891E-1,1.007599686E1
1.558477958E0,3.143463135E-3,4.851411438E-1,9.952503662E0
1.608791958E0,-9.430389404E-3,2.417472839E-1,9.841135254E0
1.659104958E0,-6.661148071E-2,1.886077881E-1,9.499545593E0
1.709417458E0,-1.264869690E-1,2.282752991E-1,9.576485596E0
1.759730458E0,-3.083587646E-2,3.920347595E-1,9.673783264E0
1.810043458E0,-1.278341675E-1,5.798941040E-1,9.798024902E0
1.860356458E0,2.365081787E-2,6.249504089E-1,9.810149689E0
1.910669458E0,3.966751099E-2,3.965254211E-1,9.860445099E0
1.960983458E0,-2.321672058E-1,4.932243347E-1,9.428742828E0
2.011296458E0,-2.948867798E-1,4.059558105E-1,9.891730042E0
2.061609458E0,-3.218307495E-1,2.694396973E-1,9.851014709E0
2.111922458E0,-3.788621521E-1,3.884422302E-1,1.032193542E1
2.162235458E0,-1.033750305E0,2.185455322E-1,9.657916260E0
2.212548458E0,-7.206015015E-1,3.086581421E-1,1.055290512E1
2.262861458E0,-7.493417358E-1,7.038363647E-1,9.921069031E0
2.313174458E0,-3.050656128E-1,4.457730103E-1,1.086141357E1
2.363488458E0,2.761756897E-1,9.119036865E-1,9.232949982E0
2.413801458E0,1.625619507E-1,5.173242188E-1,1.077863571E1
2.464114458E0,3.703298950E-1,1.019978943E0,9.262738037E0
2.514427458E0,7.349716187E-2,7.949967957E-1,9.662855988E0
2.564740458E0,1.691482544E-2,8.655001831E-1,9.678872681E0
2.615053458E0,2.356100464E-1,9.686357117E-1,9.998009033E0
2.665366458E0,5.044509888E-2,1.411564636E-1,9.341174927E0
2.715679417E0,-3.213816833E-1,8.846603394E-1,1.059975769E1
2.765992417E0,-3.059637451E-1,1.172062683E0,9.152417450E0
2.816306417E0,-5.995033264E-1,8.753796387E-1,1.032657578E1
2.866619417E0,-6.905140686E-1,1.131347351E0,1.004605911E1
2.916932417E0,-2.104623413E-1,9.027726746E-1,9.865983582E0
2.967245417E0,-2.477348328E-1,8.684939575E-1,9.759105835E0
3.017558417E0,-4.781057739E-1,8.505313110E-1,9.801916809E0
3.067871417E0,-4.183799744E-1,1.003812561E0,1.010788055E1
3.118184417E0,-1.796264648E-2,1.019380188E0,9.933493195E0
3.168497417E0,-2.447410583E-1,8.116122437E-1,1.012988480E1
3.218811417E0,-1.586700439E-1,8.574169922E-1,9.672136688E0
3.269124417E0,2.529739380E-2,8.250842285E-1,9.594448242E0
3.319437417E0,-1.332229614E-2,7.632627869E-1,9.737700348E0
3.369750417E0,-1.091230774E-1,7.622149658E-1,9.980645142E0
3.420063417E0,-1.540296936E-1,8.390052795E-1,1.001686981E1
3.470376417E0,-2.089654541E-1,8.913963318E-1,1.000489471E1
3.520689417E0,-2.499801636E-2,7.466473389E-1,9.956545258E0
3.571002417E0,-9.385482788E-2,7.394622803E-1,9.744436340E0
3.621315417E0,-6.182144165E-2,6.541397095E-1,9.917027435E0
3.671629417E0,2.679428101E-2,6.243516541E-1,9.744136963E0
3.721942792E0,1.437011719E-2,5.858816528E-1,9.908046112E0
3.772255792E0,-1.490899658E-1,7.680528259E-1,9.758507080E0
3.822568792E0,1.496887207E-4,6.755451965E-1,9.901010742E0
3.872881792E0,6.107299805E-2,6.622229004E-1,9.906249847E0
3.923194792E0,-4.535568237E-2,6.243516541E-1,9.944420471E0
3.973507792E0,1.826202393E-2,6.113287354E-1,9.876312103E0
4.023820792E0,1.945953369E-2,6.143225098E-1,9.915680237E0
4.074133792E0,3.802093506E-2,6.149212646E-1,9.784702606E0
4.124446792E0,8.801696777E-2,5.581892395E-1,9.865534515E0
4.174760792E0,-9.086105347E-2,6.379733276E-1,9.762099609E0
4.225073792E0,5.613327026E-2,6.090834045E-1,9.996063080E0
4.275386792E0,2.694396973E-3,5.688171387E-1,9.821226654E0
4.325699792E0,5.568420410E-2,6.321354675E-1,1.014500336E1
4.376012792E0,-5.837860107E-2,6.670129395E-1,9.753717041E0
4.426325792E0,1.347198486E-2,4.896318054E-1,1.004680756E1
4.476638792E0,1.059796143E-1,5.709127808E-1,9.778415680E0
4.526951792E0,-8.352630615E-2,5.192701721E-1,9.783505096E0
4.577264792E0,-1.586700439E-2,5.830375671E-1,9.731862488E0
4.627577792E0,-8.981323242E-4,5.459147644E-1,9.978848877E0
4.677890792E0,-8.981323242E-4,6.146218872E-1,9.854906616E0
4.728203667E0,1.185534668E-1,5.662724304E-1,9.828411713E0
4.778517667E0,-1.686991882E-1,5.234614563E-1,9.719737701E0
4.828830667E0,6.122268677E-2,5.442681885E-1,9.811047821E0
4.879143667E0,1.107696533E-2,5.203179932E-1,9.978848877E0
4.929456667E0,1.603166199E-1,4.074526978E-1,9.956245880E0
4.979769667E0,6.960525513E-2,4.481680298E-1,9.861792297E0
5.030082667E0,1.472937012E-1,5.584886169E-1,9.793683929E0
5.080395667E0,3.278182983E-2,4.999603271E-1,1.004935226E1
5.130708667E0,-4.041595459E-3,4.849914551E-1,9.888287201E0
5.181021667E0,-8.232879639E-3,5.213658142E-1,9.736203461E0
5.231334667E0,-6.825805664E-2,5.129832458E-1,9.876761169E0
5.281647667E0,-4.340972900E-2,5.450166321E-1,9.817634125E0
5.331960667E0,-4.505630493E-2,4.662803650E-1,9.924062805E0
5.382273667E0,2.724334717E-2,5.129832458E-1,9.844578094E0
5.432587667E0,1.990859985E-2,4.646337891E-1,9.902807007E0
5.482900667E0,-5.688171387E-3,4.647834778E-1,1.004201752E1
5.533213667E0,4.385879517E-2,4.378395081E-1,9.817933502E0
5.583526667E0,-2.439926147E-2,4.941224670E-1,9.909393311E0
5.633839667E0,1.231938171E-1,4.427792358E-1,9.859546967E0
5.684152667E0,3.218307495E-2,4.966671753E-1,9.984836426E0
5.734465417E0,5.807922363E-2,4.957690430E-1,9.770781555E0
5.784778417E0,4.954696655E-2,4.498146057E-1,9.848020935E0
5.835091417E0,2.290237427E-2,4.510121155E-1,9.869725800E0
5.885404417E0,2.095642090E-2,4.382885742E-1,9.774823151E0
5.935717417E0,-1.127156067E-1,4.311035156E-1,9.945617981E0
5.986030417E0,4.520599365E-2,4.930746460E-1,9.810000000E0
6.036343417E0,8.681945801E-3,4.933740234E-1,1.004456223E1
6.086656417E0,-5.583389282E-2,5.054988098E-1,9.913434906E0
6.136969417E0,1.122665405E-1,4.846920776E-1,9.893526306E0
6.187282417E0,-8.232879639E-3,4.927752686E-1,1.005204666E1
6.237596417E0,5.583389282E-2,4.887336731E-1,9.720186768E0
6.287909417E0,-1.407073975E-2,4.129911804E-1,9.952952728E0
6.338222417E0,9.041198730E-2,4.177812195E-1,9.812844086E0
6.388535417E0,7.948471069E-2,4.424798584E-1,9.811496887E0
6.438848417E0,7.514373779E-2,3.535647583E-1,9.836195526E0
6.489161417E0,5.403762817E-2,4.188290405E-1,9.854457550E0
6.539474417E0,3.742218018E-3,3.864962769E-1,9.939630432E0
6.589787417E0,1.769320679E-1,5.221142578E-1,9.922266541E0
6.640100417E0,2.799179077E-2,4.346960449E-1,9.776918793E0
6.690413417E0,7.664062500E-2,3.640429688E-1,9.983638916E0
6.740726708E0,-1.002914429E-2,4.438270569E-1,9.835746460E0
6.791039708E0,1.225950623E-1,4.547543335E-1,9.893675995E0
6.841352708E0,6.197113037E-2,4.240681458E-1,9.858199768E0
6.891665708E0,8.158035278E-2,4.601431274E-1,9.874515839E0
6.941978708E0,6.406677246E-2,3.794609070E-1,1.006806335E1
6.992291708E0,3.338058472E-2,4.520599365E-1,9.783804474E0
7.042604708E0,9.624984741E-2,4.683760071E-1,9.909992065E0
7.092917708E0,1.290316772E-1,3.909869385E-1,9.807754669E0
7.143230708E0,-1.287322998E-2,3.722758484E-1,9.898466034E0
7.193543708E0,6.316864014E-2,3.987707520E-1,9.991572418E0
7.243856708E0,1.007405090E-1,4.055067444E-1,9.868677979E0
7.294169708E0,6.481521606E-2,4.113446045E-1,9.931996307E0
7.344482708E0,9.834548950E-2,3.691323853E-1,9.914782104E0
7.394795708E0,-5.044509888E-2,4.571493530E-1,9.781110077E0
7.445108708E0,4.415817261E-2,3.580554199E-1,9.950557709E0
7.495421708E0,5.269042969E-2,3.878434753E-1,9.884095917E0
7.545734708E0,6.885681152E-3,4.469705200E-1,9.778715057E0
7.596047708E0,-1.032852173E-2,4.339476013E-1,9.979297943E0
7.646360708E0,6.735992432E-3,4.326004028E-1,9.811047821E0
7.696673708E0,1.154100037E-1,3.124003601E-1,9.862091675E0
7.746987167E0,-1.062789917E-2,3.393443298E-1,9.742041321E0
7.797300167E0,3.876937866E-2,4.376898193E-1,9.936037903E0
7.847613167E0,4.475692749E-2,3.586541748E-1,9.882898407E0
7.897926167E0,8.756790161E-2,3.794609070E-1,9.935289459E0
7.948239167E0,-5.718109131E-2,4.384382629E-1,9.981393585E0
7.998552167E0,3.802093506E-2,4.019142151E-1,9.897268524E0
8.048865167E0,4.984634399E-2,2.763253784E-1,9.900411987E0
8.099178167E0,2.365081787E-2,2.986289978E-1,9.881401520E0
8.149491167E0,1.341210938E-1,2.938389587E-1,9.944121094E0
8.199804167E0,7.858657837E-2,4.297563171E-1,9.853858795E0
8.250117167E0,1.525328064E-1,3.112028503E-1,9.874815216E0
8.300430167E0,2.350112915E-2,2.366578674E-1,9.797426147E0
8.350743167E0,4.580474854E-2,2.911445618E-1,9.802365875E0
8.401056167E0,7.035369873E-2,3.637435913E-1,9.987979889E0
8.451369167E0,9.954299927E-2,3.200344849E-1,9.968670044E0
8.501682167E0,4.924758911E-2,3.522175598E-1,9.880054321E0
8.551995167E0,2.963836670E-2,3.379971313E-1,9.917925568E0
8.602308167E0,7.035369873E-3,3.321592712E-1,9.844129028E0
8.652621167E0,8.187973022E-2,3.035687256E-1,9.897867279E0
8.702934083E0,7.753875732E-2,2.775228882E-1,9.912237396E0
8.753247083E0,2.604583740E-2,3.137475586E-1,9.847571869E0
8.803560083E0,-2.948867798E-2,3.724255371E-1,9.913734283E0
8.853873083E0,6.601272583E-2,2.977308655E-1,9.844428406E0
8.904186083E0,6.047424316E-2,3.420387268E-1,9.857301636E0
8.954499083E0,1.856140137E-2,3.400927734E-1,9.799372101E0
9.004812083E0,3.697311401E-2,2.697390747E-1,9.927505646E0
9.055125083E0,5.403762817E-2,3.499722290E-1,9.809101868E0
9.105438083E0,1.272354126E-1,2.686912537E-1,9.924661560E0
9.155751083E0,4.056564331E-2,3.417393494E-1,9.935888214E0
9.206064083E0,5.897735596E-2,3.984713745E-1,9.853559418E0
9.256377083E0,-1.751358032E-2,3.341052246E-1,9.894574127E0
9.306690083E0,3.682342529E-2,2.918930054E-1,9.771230621E0
9.357003083E0,2.230361938E-2,3.122506714E-1,9.957144012E0
9.407316083E0,-9.430389404E-3,3.547622681E-1,9.942175140E0
9.457629083E0,5.224136353E-2,3.222798157E-1,9.799372101E0
9.507942083E0,4.565505981E-2,3.917353821E-1,1.002091141E1
