"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.788904172E-2,4.951965332E0,1.096066284E1,-5.282873535E1
1.082020416E-1,4.389816284E0,1.058750916E1,-5.272109985E1
1.585150417E-1,3.668426514E0,1.056661987E1,-5.286090088E1
2.088290416E-1,2.857833862E0,1.047420502E1,-5.279391479E1
2.591420417E-1,3.087127686E0,1.015620422E1,-5.281594849E1
3.094550415E-1,2.796203613E0,1.014291382E1,-5.262643433E1
3.597680416E-1,2.641159058E0,1.055390167E1,-5.309408569E1
4.100810415E-1,2.431198120E0,1.054882812E1,-5.268896484E1
4.603940416E-1,2.148406982E0,1.066016388E1,-5.304159546E1
5.107080417E-1,2.403869629E0,1.090250397E1,-5.306448364E1
5.610210416E-1,2.388290405E0,1.069146729E1,-5.296484375E1
6.113340417E-1,2.531860352E0,1.085511780E1,-5.294073486E1
6.616470416E-1,2.225845337E0,1.129998779E1,-5.254446411E1
7.119599583E-1,1.912719727E0,1.111214447E1,-5.246548462E1
7.622729582E-1,2.335189819E0,1.071240234E1,-5.289779663E1
8.125869583E-1,1.905914307E0,1.070386505E1,-5.335549927E1
8.628999584E-1,1.769271851E0,1.049808502E1,-5.263214111E1
9.132129583E-1,1.782913208E0,1.098088837E1,-5.299942017E1
9.635259584E-1,1.515106201E0,1.137098694E1,-5.307391357E1
1.013838958E0,1.509201050E0,1.129890442E1,-5.273489380E1
1.064151958E0,1.504257202E0,1.121416473E1,-5.282644653E1
1.114464958E0,1.585968018E0,1.198711395E1,-5.220275879E1
1.164778958E0,1.211273193E0,1.216545868E1,-5.234237671E1
1.215091958E0,1.453674316E0,1.236257935E1,-5.267822266E1
1.265404958E0,1.350433350E0,1.261243439E1,-5.237658691E1
1.315717958E0,1.114974976E0,1.308657074E1,-5.255343628E1
1.366030958E0,9.789123535E-1,1.301110077E1,-5.252404785E1
1.416343958E0,1.028427124E0,1.302644348E1,-5.241476440E1
1.466656958E0,9.465332031E-1,1.354863739E1,-5.206463623E1
1.516970958E0,1.035064697E0,1.360278320E1,-5.229354858E1
1.567283958E0,1.269927979E0,1.351706696E1,-5.211734009E1
1.617596958E0,1.512023926E0,1.327656555E1,-5.234237671E1
1.667909958E0,1.513015747E0,1.288348389E1,-5.253579712E1
1.718222458E0,1.608352661E0,1.310942078E1,-5.220455933E1
1.768535458E0,1.838485718E0,1.329648590E1,-5.262127686E1
1.818848458E0,2.090316772E0,1.306954956E1,-5.209512329E1
1.869161458E0,1.584762573E0,1.295510864E1,-5.211822510E1
1.919475458E0,1.860443115E0,1.310262299E1,-5.204763794E1
1.969788458E0,1.812194824E0,1.303157806E1,-5.211166382E1
2.020101458E0,2.253921509E0,1.276435089E1,-5.217037964E1
2.070414458E0,2.602783203E0,1.235336304E1,-5.187005615E1
2.120727458E0,2.406875610E0,1.209318542E1,-5.215948486E1
2.171040458E0,2.507339478E0,1.175537109E1,-5.185742188E1
2.221353458E0,2.138656616E0,1.122743225E1,-5.222055054E1
2.271667458E0,2.997329712E0,1.066949463E1,-5.264154053E1
2.321980458E0,2.309097290E0,1.088560486E1,-5.247390747E1
2.372293458E0,1.844696045E0,1.049272156E1,-5.249612427E1
2.422606458E0,1.389099121E0,1.080307007E1,-5.249954224E1
2.472919458E0,1.523452759E0,1.007072449E1,-5.281924438E1
2.523232458E0,2.154464722E0,9.783348083E0,-5.231759644E1
2.573545458E0,1.728790283E0,9.884948730E0,-5.225274658E1
2.623858458E0,1.462158203E0,9.872856140E0,-5.231597900E1
2.674172458E0,2.142120361E0,1.002380371E1,-5.210336304E1
2.724485417E0,2.343750000E0,1.043708801E1,-5.181109619E1
2.774798417E0,2.316680908E0,1.033622742E1,-5.215011597E1
2.825111417E0,2.431167603E0,1.050991058E1,-5.252005005E1
2.875424417E0,2.677719116E0,1.022932434E1,-5.230239868E1
2.925737417E0,2.361679077E0,1.029273224E1,-5.173727417E1
2.976050417E0,2.180145264E0,1.060884094E1,-5.212249756E1
3.026363417E0,2.807632446E0,1.081032562E1,-5.217672729E1
3.076676417E0,2.717880249E0,1.071883392E1,-5.201272583E1
3.126990417E0,2.406494141E0,1.055798340E1,-5.172998047E1
3.177303417E0,2.611236572E0,1.072731018E1,-5.189120483E1
3.227616417E0,2.708251953E0,1.056539917E1,-5.204486084E1
3.277929417E0,2.499069214E0,1.087714386E1,-5.225238037E1
3.328242417E0,2.007446289E0,1.077723694E1,-5.238500977E1
3.378555417E0,2.029937744E0,1.062480164E1,-5.193002319E1
3.428868417E0,1.870803833E0,1.092964935E1,-5.218453979E1
3.479181417E0,1.791290283E0,1.108471680E1,-5.169082642E1
3.529495417E0,1.460235596E0,1.095119476E1,-5.217691040E1
3.579808417E0,1.118255615E0,1.087989807E1,-5.254965210E1
3.630121417E0,1.288101196E0,1.104562378E1,-5.215432739E1
3.680434417E0,1.479980469E0,1.084982300E1,-5.206591797E1
3.730747792E0,1.098114014E0,1.110671234E1,-5.211734009E1
3.781060792E0,1.470901489E0,1.088619232E1,-5.167941284E1
3.831373792E0,1.105987549E0,1.113713074E1,-5.145150757E1
3.881686792E0,1.439544678E0,1.139819336E1,-5.227102661E1
3.931999792E0,1.315780640E0,1.101789093E1,-5.168838501E1
3.982312792E0,1.318771362E0,1.157883453E1,-5.179769897E1
4.032626792E0,1.383605957E0,1.133666229E1,-5.191687012E1
4.082939792E0,1.156768799E0,1.166603088E1,-5.197726440E1
4.133252792E0,1.238937378E0,1.161694336E1,-5.215740967E1
4.183565792E0,1.368118286E0,1.157943726E1,-5.174032593E1
4.233878792E0,1.288711548E0,1.169477081E1,-5.156329346E1
4.284191792E0,1.356063843E0,1.163974762E1,-5.184570312E1
4.334504792E0,1.396026611E0,1.187754822E1,-5.171258545E1
4.384817792E0,1.427474976E0,1.157031250E1,-5.199627686E1
4.435130792E0,1.642791748E0,1.159816742E1,-5.225350952E1
4.485443792E0,1.538589478E0,1.180814362E1,-5.202267456E1
4.535756792E0,1.197296143E0,1.161016846E1,-5.177447510E1
4.586070792E0,1.417037964E0,1.191749573E1,-5.212149048E1
4.636383792E0,1.554321289E0,1.173956299E1,-5.203680420E1
4.686696792E0,1.650985718E0,1.214864349E1,-5.142416382E1
4.737009667E0,1.257797241E0,1.173383331E1,-5.175711060E1
4.787322667E0,1.013504028E0,1.200302124E1,-5.171957397E1
4.837635667E0,1.500869751E0,1.197326660E1,-5.184606934E1
4.887948667E0,1.189102173E0,1.215598297E1,-5.191882324E1
4.938261667E0,1.390686035E0,1.177571106E1,-5.197372437E1
4.988574667E0,1.254730225E0,1.236168671E1,-5.194583130E1
5.038887667E0,1.039978027E0,1.219474030E1,-5.195361328E1
5.089200667E0,1.093536377E0,1.230162811E1,-5.187530518E1
