"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.752212494E-2,-2.062710571E-1,7.616162109E-1,9.664801941E0
8.713512495E-2,4.016148376E-1,4.514611816E-1,9.931996307E0
1.367476666E-1,8.107141113E-1,1.276844788E-1,9.601333923E0
1.863596666E-1,2.484832764E-2,-5.478607178E-2,9.604477386E0
2.359726666E-1,5.216651917E-1,3.080593872E-1,9.663604431E0
2.855856667E-1,4.742138672E-1,1.996847534E-1,9.969418488E0
3.351986667E-1,6.732998657E-1,-1.252894592E-1,9.624535675E0
3.848116667E-1,1.959425354E-1,-4.565505981E-2,9.532028046E0
4.344236667E-1,2.405497742E-1,6.122268677E-2,9.797126770E0
4.840366667E-1,1.796264648E-2,-4.939727783E-3,9.583820343E0
5.336496666E-1,-3.128494263E-2,-1.046324158E-1,9.566456451E0
5.832626666E-1,4.471202087E-1,-3.947291565E-1,9.581575012E0
6.328746666E-1,2.200424194E-2,-3.180885315E-1,9.647288361E0
6.824876666E-1,3.430865479E-1,-8.696914673E-2,9.958042145E0
7.321006666E-1,3.917353821E-1,-2.077679443E-1,9.624236298E0
7.817136666E-1,1.978884888E-1,-1.480421448E-1,9.839638367E0
8.313256666E-1,4.969665527E-1,-2.433938599E-1,9.748178558E0
8.809386666E-1,1.779798889E-1,-4.851411438E-1,9.542356567E0
9.305516666E-1,5.438191223E-1,-1.869612122E-1,9.750423889E0
9.801646667E-1,1.689985657E-1,-2.935395813E-1,9.770781555E0
1.029776667E0,6.010002136E-1,-5.439688110E-1,9.702523499E0
1.079389667E0,1.845661926E-1,-1.757345581E-1,9.772577820E0
1.129002667E0,4.140390015E-1,-3.185375977E-1,9.461524658E0
1.178615917E0,3.808081055E-1,-4.772076416E-1,9.578281860E0
1.228227917E0,3.754193115E-1,-2.725831604E-1,9.852361908E0
1.277840917E0,3.007246399E-1,-3.005749512E-1,9.783804474E0
1.327453917E0,5.447172546E-1,-8.119116211E-1,9.527986450E0
1.377066917E0,3.531156921E-1,-2.261796570E-1,9.869725800E0
1.426678917E0,3.707789612E-1,-8.036787415E-1,9.412127380E0
1.476291917E0,3.582051086E-1,-1.249900818E-1,9.973160706E0
1.525904917E0,2.113604736E-1,-3.968247986E-1,9.617949371E0
1.575517917E0,4.516108704E-1,-3.261717224E-1,9.864037628E0
1.625129917E0,4.221221924E-1,-4.605921936E-1,9.648485870E0
1.674742917E0,1.448986816E-1,-4.162843323E-1,9.625284119E0
1.724355917E0,3.900888062E-1,-6.544390869E-1,9.575288086E0
1.773967917E0,3.004252625E-1,-2.402503967E-1,9.949509888E0
1.823580917E0,3.017724609E-1,-6.713539124E-1,9.562564545E0
1.873193917E0,3.264710999E-1,-3.356021118E-1,9.788444824E0
1.922806917E0,6.110293579E-1,-4.423301697E-1,9.687404938E0
1.972418917E0,2.607577515E-1,-7.526348877E-1,9.468560028E0
2.022031917E0,5.935157776E-1,-5.412744141E-1,9.892628174E0
2.071644917E0,1.152603149E-2,-5.334906006E-1,9.669591980E0
2.121256917E0,5.068460083E-1,-3.550616455E-1,9.892777863E0
2.170869375E0,5.095404053E-1,-2.597099304E-1,9.827962646E0
2.220482375E0,5.560935974E-1,-6.988966370E-1,9.530680847E0
2.270095375E0,2.662962341E-1,-4.017645264E-1,9.500892792E0
2.319707375E0,4.222718811E-1,-2.219883728E-1,9.672436066E0
2.369320375E0,2.856060791E-1,-5.731581116E-1,9.517358551E0
2.418933375E0,2.893482971E-1,-5.255570984E-1,9.686806183E0
2.468545375E0,6.879693604E-1,-3.333567810E-1,9.822424164E0
2.518158375E0,4.234693909E-1,-6.688092041E-1,9.617051239E0
2.567771375E0,8.226892090E-1,-7.589218140E-2,1.005174728E1
2.617383375E0,2.869532776E-1,-7.393125916E-1,9.707014160E0
2.666996375E0,6.023474121E-1,-5.493576050E-1,9.692793732E0
2.716609375E0,7.247927856E-1,-6.530918884E-1,9.554481354E0
2.766222375E0,3.480262756E-1,-1.098715210E-1,9.947414246E0
2.815834375E0,2.628533936E-1,-9.864486694E-2,9.812844086E0
2.865447375E0,5.519023132E-1,-5.686674500E-1,9.330097961E0
2.915060375E0,4.854405212E-1,-4.679269409E-1,9.620943146E0
2.964672375E0,8.864566040E-1,-2.219883728E-1,9.743987274E0
3.014285375E0,1.327738953E-1,-7.165599060E-1,9.559271393E0
3.063898375E0,5.950126648E-1,-5.421725464E-1,9.747729492E0
3.113510375E0,1.922003174E-1,-2.180964661E-1,9.809401245E0
3.163123542E0,-1.809736633E-1,-6.990463257E-2,9.629176025E0
3.212736542E0,7.090754700E-1,-9.984237671E-2,9.981393585E0
3.262348542E0,-1.589694214E-1,-7.641609192E-1,9.298813019E0
3.311961542E0,6.477030945E-1,-3.456312561E-1,9.733958130E0
3.361574542E0,7.762857056E-1,4.790039062E-3,9.850865021E0
3.411186542E0,5.093907166E-1,-7.334747314E-2,9.707463226E0
3.460799542E0,1.102906494E0,-4.411326599E-1,9.411378937E0
3.510412542E0,-1.865121460E-1,-2.502795410E-1,9.839488678E0
3.560024542E0,9.424401855E-1,-6.197113037E-2,9.585167542E0
3.609637542E0,-1.115180969E-1,-4.640350342E-1,9.595795441E0
3.659250542E0,7.265890503E-1,-3.468287659E-1,9.876162415E0
3.708862542E0,-5.643264771E-2,-4.218228149E-1,9.577234039E0
3.758475542E0,5.587879944E-1,-3.556604004E-1,9.888287201E0
3.808088542E0,6.403683472E-1,-4.824467468E-1,9.595645752E0
3.857700542E0,9.475296021E-2,3.158432007E-2,9.817484436E0
3.907313542E0,7.334747314E-1,-3.573069763E-1,9.606273651E0
3.956926542E0,5.373825073E-2,3.261717224E-1,9.909243622E0
