"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.868612497E-2,-4.616928101E0,9.181056976E0,-5.081231689E1
9.829912498E-2,-5.235244751E0,9.832660675E0,-5.080987549E1
1.479106667E-1,-5.926300049E0,1.059617233E1,-5.039170837E1
1.975236667E-1,-6.002441406E0,1.089127731E1,-5.022988892E1
2.471366667E-1,-5.843276978E0,1.161865616E1,-5.010801697E1
2.967496667E-1,-5.677505493E0,1.207082748E1,-5.004866028E1
3.463616667E-1,-5.872177124E0,1.298651505E1,-5.029322815E1
3.959746667E-1,-5.701797485E0,1.269186783E1,-4.994708252E1
4.455876666E-1,-5.213638306E0,1.304446793E1,-4.988458252E1
4.952006666E-1,-4.919967651E0,1.311232376E1,-4.983464050E1
5.448126666E-1,-5.360076904E0,1.290888596E1,-4.956221008E1
5.944256666E-1,-5.545196533E0,1.333762741E1,-4.943734741E1
6.440386666E-1,-5.687591553E0,1.353423691E1,-4.972436523E1
6.936516666E-1,-5.691848755E0,1.376821518E1,-4.951562500E1
7.432636666E-1,-5.754043579E0,1.313058090E1,-4.907737732E1
7.928766666E-1,-6.097106934E0,1.352887344E1,-4.943328857E1
8.424896667E-1,-6.070297241E0,1.391801071E1,-4.927272034E1
8.921026667E-1,-6.359313965E0,1.421477127E1,-4.937646484E1
9.417146667E-1,-6.581161499E0,1.442660904E1,-4.923779297E1
9.913276667E-1,-6.357192993E0,1.400125504E1,-5.010838318E1
1.040940667E0,-6.265213013E0,1.441882706E1,-4.929450989E1
1.090553667E0,-6.282760620E0,1.447194290E1,-4.935969543E1
1.140165917E0,-6.253356934E0,1.375963974E1,-4.909829712E1
1.189778917E0,-6.145996094E0,1.456552505E1,-4.907321167E1
1.239391917E0,-6.033004761E0,1.451516342E1,-4.917521667E1
1.289004917E0,-6.370025635E0,1.457996750E1,-4.912805176E1
1.338616917E0,-6.327224731E0,1.438210678E1,-4.919023132E1
1.388229917E0,-6.065063477E0,1.461558914E1,-4.923413086E1
1.437842917E0,-6.294525146E0,1.458777237E1,-4.932058716E1
1.487455917E0,-5.984237671E0,1.473262405E1,-4.897442627E1
1.537067917E0,-6.045089722E0,1.503927994E1,-4.887876892E1
1.586680917E0,-6.245056152E0,1.482794571E1,-4.929591370E1
1.636293917E0,-6.139816284E0,1.498590469E1,-4.916134644E1
1.685905917E0,-6.391067505E0,1.498496628E1,-4.922747803E1
1.735518917E0,-6.206665039E0,1.478530502E1,-4.928840637E1
1.785131917E0,-6.432418823E0,1.485248184E1,-4.881407166E1
1.834744917E0,-5.810241699E0,1.434866714E1,-4.940794373E1
1.884356917E0,-6.195114136E0,1.519437027E1,-4.899926758E1
1.933969917E0,-6.397567749E0,1.476803207E1,-4.938755798E1
1.983582917E0,-6.700744629E0,1.508457565E1,-4.926777649E1
2.033195917E0,-6.537292480E0,1.468980789E1,-4.991793823E1
2.082807917E0,-6.119186401E0,1.492272568E1,-4.941645813E1
2.132420375E0,-6.464630127E0,1.467646408E1,-4.980207825E1
2.182033375E0,-6.129409790E0,1.472670364E1,-4.919204712E1
2.231645375E0,-6.312789917E0,1.479911423E1,-4.944636536E1
2.281258375E0,-6.405761719E0,1.458391190E1,-4.949934387E1
2.330871375E0,-6.602264404E0,1.488853836E1,-4.966500854E1
2.380484375E0,-6.301757812E0,1.431153488E1,-4.961959839E1
2.430096375E0,-6.495361328E0,1.473909378E1,-4.975036621E1
2.479709375E0,-6.488372803E0,1.451813126E1,-5.023759460E1
2.529322375E0,-6.714355469E0,1.472546005E1,-4.969905090E1
2.578934375E0,-6.902633667E0,1.460914230E1,-5.028904724E1
2.628547375E0,-6.491653442E0,1.447110367E1,-5.030386353E1
2.678160375E0,-6.681900024E0,1.460681534E1,-5.004896545E1
2.727772375E0,-6.979873657E0,1.468142319E1,-4.971430969E1
2.777385375E0,-6.450683594E0,1.475588608E1,-4.968179321E1
2.826998375E0,-6.820678711E0,1.475098801E1,-4.978297424E1
2.876610375E0,-6.147781372E0,1.418189621E1,-4.985514832E1
2.926223375E0,-6.212646484E0,1.470238113E1,-4.948464966E1
2.975836375E0,-6.148040771E0,1.410010147E1,-4.998097229E1
3.025449375E0,-6.059234619E0,1.436108780E1,-4.942573547E1
3.075061375E0,-6.248748779E0,1.428736496E1,-5.022103882E1
3.124674375E0,-6.398513794E0,1.401858139E1,-4.976359558E1
3.174287542E0,-6.615509033E0,1.372093582E1,-4.956091309E1
3.223899542E0,-6.669265747E0,1.397269821E1,-5.001325989E1
3.273512542E0,-6.557052612E0,1.388029099E1,-4.983296204E1
3.323125542E0,-6.500289917E0,1.415383530E1,-4.980841064E1
3.372737542E0,-6.106369019E0,1.434052658E1,-4.980473328E1
3.422350542E0,-6.177139282E0,1.410057449E1,-4.999621582E1
3.471963542E0,-6.508010864E0,1.387453842E1,-5.050946045E1
3.521575542E0,-6.468963623E0,1.434476852E1,-5.015956116E1
