"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.871958306E-3,-2.195933533E-1,4.388873291E-1,9.821226654E0
5.288037495E-2,-7.321275330E-1,4.240681458E-1,9.940827942E0
1.028883748E-1,-4.519102478E-1,4.426295471E-1,1.019215530E1
1.528963749E-1,-4.092489624E-1,4.593946838E-1,1.024933640E1
2.029043750E-1,-1.462458801E-1,3.562591553E-1,9.424850922E0
2.529123749E-1,-2.082170105E-1,3.085084534E-1,1.060469742E1
3.029213750E-1,1.293310547E-1,1.957928467E-1,9.345216522E0
3.529293749E-1,-1.323697357E0,5.251080322E-1,9.661059723E0
4.029373750E-1,-2.716850281E-1,5.228627014E-1,9.560319214E0
4.529453749E-1,-2.212399292E-1,2.249821472E-1,1.025981461E1
5.029533750E-1,2.718347168E-1,1.158590698E-1,9.714797974E0
5.529613749E-1,1.228944397E-1,2.514770508E-2,9.723030853E0
6.029693750E-1,-1.230441284E-1,7.170089722E-2,9.429940338E0
6.529773748E-1,1.936972046E-1,-9.011260986E-2,1.025592270E1
7.029853750E-1,-3.179388428E-1,1.649569702E-1,9.668095093E0
7.529933748E-1,8.412506104E-2,1.065783691E-1,9.700876923E0
8.030013749E-1,-3.632945251E-1,1.830693054E-1,9.907746735E0
8.530093750E-1,-5.613327026E-2,2.640509033E-1,9.855954437E0
9.030173749E-1,9.310638428E-2,-1.586700439E-2,9.914632416E0
9.530253750E-1,-5.523513794E-2,1.481918335E-1,1.018272491E1
1.003033375E0,-1.206491089E-1,-2.128573608E-1,9.233997803E0
1.053041333E0,5.388793945E-2,2.863545227E-1,1.041683807E1
1.103049333E0,1.924996948E-1,-5.897735596E-2,9.447902985E0
1.153057333E0,1.213975525E-1,1.154100037E-1,9.968520355E0
1.203065333E0,2.145039368E-1,-9.639953613E-2,9.517059174E0
1.253073333E0,-1.541793823E-2,-2.619552612E-2,1.019155655E1
1.303081333E0,3.827540588E-1,-1.639091492E-1,1.007719437E1
1.353089333E0,2.906954956E-1,-6.451583862E-2,9.358538818E0
1.403097333E0,1.398092651E-1,-2.170486450E-2,1.017314484E1
1.453105333E0,-1.571731567E-2,-6.765930176E-2,9.999056854E0
1.503113333E0,2.338137817E-1,-1.311273193E-1,9.872270508E0
1.553121333E0,3.143463135E-3,-1.158590698E-1,9.849517822E0
1.603129333E0,3.981719971E-1,-9.071136475E-2,9.871522064E0
1.653137333E0,1.175056458E-1,-1.472937012E-1,9.712402954E0
1.703145333E0,2.338137817E-1,-3.188369751E-2,1.017134857E1
1.753153333E0,1.399589539E-1,-9.265731812E-2,9.756261749E0
1.803161333E0,1.704954529E-1,-1.637594604E-1,9.921368408E0
1.853169333E0,1.978884888E-1,-1.431024170E-1,9.757010193E0
1.903177333E0,-4.760101318E-2,-2.763253784E-1,9.927056580E0
1.953185333E0,1.760339355E-1,1.044827271E-1,9.708960114E0
2.003193333E0,-5.239105225E-3,-3.336561584E-1,9.994266815E0
2.053201375E0,2.634521484E-1,-1.437011719E-2,9.637708282E0
2.103209375E0,1.670526123E-1,-1.910028076E-1,1.001582199E1
2.153217375E0,3.607498169E-2,-9.205856323E-2,9.732760620E0
2.203225375E0,3.451821899E-1,-7.259902954E-2,9.928104401E0
2.253233375E0,2.103126526E-1,-1.302291870E-1,9.624535675E0
2.303241375E0,2.978805542E-1,-5.643264771E-2,9.921817474E0
2.353248375E0,6.616241455E-2,-1.193019104E-1,9.793085175E0
2.403256375E0,2.100132751E-1,6.676116943E-2,9.953551483E0
2.453264375E0,1.302291870E-1,-1.371148682E-1,1.000564316E1
2.503272375E0,1.179547119E-1,-1.092727661E-2,9.808802490E0
2.553280375E0,1.365161133E-1,-1.660047913E-1,9.713750153E0
2.603288375E0,8.801696777E-2,-5.643264771E-2,1.013407608E1
2.653296375E0,2.170486450E-1,-1.013392639E-1,9.723928986E0
2.703304375E0,4.640350342E-2,-4.834945679E-2,9.932744751E0
2.753312375E0,2.489323425E-1,-1.347198486E-2,9.904303894E0
2.803319375E0,1.161584473E-1,-4.475692749E-2,9.975705414E0
2.853327375E0,2.384541321E-1,-7.574249268E-2,9.711355133E0
2.903335375E0,9.400451660E-2,-4.490661621E-2,9.937534790E0
2.953343375E0,1.919009399E-1,-4.236190796E-2,9.596693573E0
3.003351375E0,1.818717957E-1,1.407073975E-2,9.935139771E0
3.053359458E0,1.851649475E-1,1.631607056E-2,1.003333557E1
3.103367458E0,-8.472381592E-2,-1.077758789E-1,9.743089142E0
3.153374458E0,2.544708252E-1,3.667373657E-2,9.949360199E0
3.203382458E0,-2.679428101E-2,-8.083190918E-2,9.915081482E0
3.253390458E0,2.249821472E-1,3.143463135E-2,9.678273926E0
3.303398458E0,1.038839722E-1,-1.546284485E-1,9.798923035E0
3.353406458E0,2.460882568E-1,9.041198730E-2,9.880653076E0
3.403414458E0,4.161346436E-2,-1.826202393E-2,9.790540466E0
3.453421458E0,6.077362061E-2,-2.350112915E-2,9.970466309E0
3.503429458E0,2.010319519E-1,-5.867797852E-2,9.689350891E0
3.553437458E0,2.049238586E-1,9.610015869E-2,1.021730301E1
3.603445458E0,-9.879455566E-3,-7.379653931E-2,9.458830261E0
3.653453458E0,2.216889954E-1,9.400451660E-2,1.019859192E1
3.703460458E0,4.131408691E-2,8.771759033E-2,9.563911743E0
3.753468458E0,1.207987976E-1,1.047821045E-2,1.014260834E1
3.803476458E0,1.734892273E-1,-2.050735474E-2,9.756261749E0
3.853484458E0,-3.233276367E-2,-3.038681030E-2,9.882449341E0
3.903491458E0,3.189866638E-1,1.683998108E-1,9.964778137E0
3.953499458E0,-1.616638184E-2,-6.451583862E-2,9.821526031E0
4.003507458E0,2.059716797E-1,1.127156067E-1,1.005848328E1
4.053515833E0,2.585124207E-1,3.023712158E-2,9.429341583E0
4.103522833E0,4.251159668E-2,4.984634399E-2,1.018751495E1
4.153530833E0,1.574725342E-1,5.044509888E-2,9.609716492E0
4.203538833E0,1.945953369E-2,1.889071655E-1,1.007165588E1
4.253546833E0,1.570234680E-1,1.886077881E-2,9.729168091E0
4.303553833E0,-1.796264648E-3,8.831634521E-3,9.847871246E0
4.353561833E0,2.956352234E-1,1.808239746E-1,9.964478760E0
4.403569833E0,1.434017944E-1,1.299298096E-1,9.540709991E0
4.453577833E0,1.871109009E-1,5.014572144E-2,9.958940277E0
4.503584833E0,7.334747314E-2,4.790039063E-2,9.788893890E0
4.553592833E0,2.341131592E-1,1.523831177E-1,1.018422180E1
4.603600833E0,1.645079041E-1,1.031355286E-1,9.564510498E0
4.653607833E0,2.013313293E-1,3.233276367E-2,9.959838409E0
4.703615833E0,2.107617188E-1,8.158035278E-2,9.737101593E0
4.753623833E0,3.472778320E-2,1.630110168E-1,9.793085175E0
4.803630833E0,1.336720276E-1,7.978408813E-2,9.797725525E0
4.853638833E0,-1.216969299E-1,4.146377563E-2,9.938432922E0
4.903646833E0,4.188290405E-1,1.686991882E-1,9.739646301E0
4.953653833E0,-1.242416382E-2,4.430786133E-2,9.902357941E0
5.003661833E0,1.933978271E-1,2.305206299E-2,9.931696930E0
5.053669750E0,-9.415420532E-2,1.571731567E-2,9.791737976E0
5.103676750E0,4.047583008E-1,1.468446350E-1,9.929601288E0
5.153684750E0,-1.134640503E-1,1.901046753E-2,1.005309448E1
5.203692750E0,2.758763123E-1,7.484436035E-3,9.891580353E0
5.253699750E0,4.116439819E-2,9.310638428E-2,9.843230896E0
5.303707750E0,1.576222229E-1,2.709365845E-2,9.777816925E0
5.353715750E0,-1.143621826E-1,2.469863892E-2,9.878108368E0
5.403722750E0,3.080593872E-1,1.618135071E-1,9.965975647E0
5.453730750E0,9.310638428E-2,-1.047821045E-2,9.511670380E0
5.503737750E0,8.981323242E-4,-1.347198486E-3,1.012868729E1
5.553745750E0,1.061293030E-1,1.131646729E-1,9.825268250E0
5.603753750E0,1.327738953E-1,1.070274353E-1,9.983638916E0
5.653760750E0,7.993377686E-2,3.248245239E-2,9.457632751E0
5.703768750E0,1.489402771E-1,1.178050232E-1,9.920619965E0
5.763777750E0,-5.882766724E-2,6.885681152E-2,9.568103027E0
5.813784750E0,2.186952209E-1,5.688171387E-2,9.864636383E0
5.863792750E0,-2.948867798E-2,1.984872437E-1,9.983189850E0
5.913800750E0,5.673202515E-2,-4.595443726E-2,1.001088226E1
5.963807750E0,2.103126526E-1,1.437011719E-1,9.603130188E0
6.013815750E0,1.347198486E-1,-4.894821167E-2,9.911189575E0
6.063822458E0,1.182540894E-1,1.243913269E-1,9.838141479E0
