"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.928083228E-3,4.232925415E0,1.384008789E1,-4.891351318E1
5.393108330E-2,3.827415466E0,1.415237427E1,-4.866894531E1
1.039340834E-1,3.794986725E0,1.442012024E1,-4.870672607E1
1.539370832E-1,3.599872589E0,1.465682983E1,-4.866632080E1
2.039410833E-1,3.407894135E0,1.490376282E1,-4.875567627E1
2.539444165E-1,3.448596954E0,1.482426453E1,-4.856420898E1
3.039474166E-1,3.205467224E0,1.499378967E1,-4.841864014E1
3.539514167E-1,3.312641144E0,1.518371582E1,-4.832452393E1
4.039544165E-1,3.080894470E0,1.544998169E1,-4.860198975E1
4.539574166E-1,2.856975555E0,1.543681335E1,-4.881976318E1
5.039604167E-1,2.996204376E0,1.533259583E1,-4.852709961E1
5.539644167E-1,2.879055023E0,1.520550537E1,-4.819238281E1
6.039674166E-1,2.649620056E0,1.527429199E1,-4.878979492E1
6.539704166E-1,2.632770538E0,1.524458313E1,-4.871533203E1
7.039734167E-1,2.552417755E0,1.544337463E1,-4.861950684E1
7.539774165E-1,2.494079590E0,1.521060181E1,-4.896679688E1
8.039804166E-1,2.347831726E0,1.513471985E1,-4.864276123E1
8.539834167E-1,2.096839905E0,1.517863464E1,-4.888275146E1
9.039864165E-1,2.374038696E0,1.513735962E1,-4.896612549E1
9.539894166E-1,2.137691498E0,1.528575134E1,-4.862677002E1
1.003993417E0,2.206058502E0,1.525527954E1,-4.890441895E1
1.053996417E0,2.272598267E0,1.507728577E1,-4.864355469E1
1.103999417E0,2.327251434E0,1.492668152E1,-4.874700928E1
1.154002417E0,2.302444458E0,1.487615967E1,-4.900177002E1
1.204005417E0,2.062908173E0,1.496809387E1,-4.879943848E1
1.254009792E0,2.332843781E0,1.492503357E1,-4.888336182E1
1.304012792E0,2.303733826E0,1.506262207E1,-4.863745117E1
1.354015792E0,2.481758118E0,1.480712891E1,-4.901568604E1
1.404018792E0,2.313106537E0,1.465957642E1,-4.874664307E1
1.454021792E0,2.331741333E0,1.473565674E1,-4.869586182E1
1.504025792E0,2.289379120E0,1.467306519E1,-4.844348145E1
1.554028792E0,2.414249420E0,1.477859497E1,-4.853680420E1
1.604031792E0,2.563495636E0,1.469206238E1,-4.871423340E1
1.654034792E0,2.612220764E0,1.472749329E1,-4.850097656E1
1.704037792E0,2.259262085E0,1.491424561E1,-4.873126221E1
1.754041792E0,2.625949860E0,1.493054199E1,-4.829693604E1
1.804044792E0,2.660926819E0,1.470771790E1,-4.871826172E1
1.854047792E0,2.652233124E0,1.501808167E1,-4.816699219E1
1.904050792E0,2.840732574E0,1.474983215E1,-4.881726074E1
1.954053792E0,2.721134186E0,1.491011047E1,-4.856036377E1
2.004056792E0,3.132518768E0,1.462512207E1,-4.812036133E1
